Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,HasCabin,Title,FamilySize,IsAlone,Fare_log
0,3,1,-1.0268355210026217,0,0,9.5,2,0,2,1,1,-0.6307359423566569
1,3,1,-0.7962859910387481,0,0,8.05,2,0,2,1,1,-0.7841792430073967
0,1,1,-0.10463740114712752,0,0,26.0,2,1,2,1,1,0.3444394801955362
0,3,1,0.27961181545932834,0,0,8.6625,0,0,2,1,1,-0.7165619336211217
1,3,1,0.04906228549545483,0,0,9.5,2,0,2,1,1,-0.6307359423566569
0,3,1,-0.5657364610748746,0,0,7.8958,2,0,2,1,1,-0.8019236166026618
1,2,1,0.9712604053509489,0,0,13.0,2,0,2,1,1,-0.3336984726090332
1,3,0,-0.5657364610748746,0,0,7.75,1,0,1,1,1,-0.8189865811572414
1,1,0,-0.2583370877897099,0,0,78.85,2,0,1,1,1,1.464014258564117
1,1,0,-0.7962859910387481,1,0,91.0792,0,1,3,2,0,1.6111475224786775
0,2,1,0.5101613454232019,0,0,12.875,0,1,2,1,1,-0.3429588030007618
0,3,0,-0.41203677443229225,0,0,8.85,2,0,1,1,1,-0.6967178907118832
0,3,1,-0.41203677443229225,0,0,7.8958,2,0,2,1,1,-0.8019236166026618
0,1,1,-0.10463740114712752,0,0,27.7208,0,0,2,1,1,0.4082334475616762
0,3,1,-0.45046169609293785,0,0,7.2292,0,0,2,1,1,-0.8823470582632056
0,1,0,-2.1027333275006983,1,2,151.55,2,1,1,4,0,2.132408321022389
1,1,1,-0.10463740114712752,0,0,30.5,2,1,2,1,1,0.5036031274312862
1,1,0,1.5860591519212783,0,1,247.5208,0,1,3,2,0,2.6363132839087284
1,3,0,-0.10463740114712752,0,0,7.75,1,0,1,1,1,-0.8189865811572414
1,3,1,-0.10463740114712752,2,0,23.25,1,0,2,3,0,0.23352593393921808
0,3,1,-0.7962859910387481,0,0,0.0,2,0,2,1,1,-3.0585777291682934
1,2,0,-0.10463740114712752,0,0,12.35,1,1,1,1,1,-0.38278544498532663
0,3,1,-0.10463740114712752,0,0,8.05,2,0,2,1,1,-0.7841792430073967
1,1,1,-2.1857311582876924,1,2,151.55,2,1,0,4,0,2.132408321022389
1,1,0,-0.10463740114712752,0,0,110.8833,0,0,1,1,1,1.812289926928167
1,1,0,-0.9499856776813305,1,0,108.9,0,1,3,2,0,1.7938227894866787
0,2,1,0.04906228549545483,1,0,24.0,0,0,2,2,0,0.26497567234198965
1,1,0,0.04906228549545483,0,0,56.9292,0,1,1,1,1,1.1326493972880125
1,1,0,-0.41203677443229225,0,0,83.1583,0,1,1,1,1,1.5182728441543658
1,1,0,-0.8731358343600393,2,2,262.375,0,1,1,5,0,2.6962534687059603
0,2,0,-0.2583370877897099,1,1,26.0,2,0,3,3,0,0.3444394801955362
0,3,1,-0.10463740114712752,0,0,7.8958,2,0,2,1,1,-0.8019236166026618
0,2,1,1.0481102486722402,1,1,26.25,2,0,2,3,0,0.35395586016517094
1,3,0,-0.2583370877897099,0,0,7.8542,2,0,1,1,1,-0.806763380796033
1,2,0,-0.41203677443229225,1,0,26.0,2,0,3,2,0,0.3444394801955362
0,2,1,1.893458525206443,0,0,14.0,2,0,4,1,1,-0.2624619586252086
1,1,0,0.12591212881674602,0,2,164.8667,2,1,1,3,0,2.218822021910339
1,1,0,0.8175607187083667,1,1,134.5,0,1,3,3,0,2.010033264475824
